gillnet_pair,animal_type,exp_unit,bpue
1,total_bpue,control,5.89
2,total_bpue,control,14.39
3,total_bpue,control,76
4,total_bpue,control,41.21
5,total_bpue,control,39
6,total_bpue,control,32.04
7,total_bpue,control,11.83
8,total_bpue,control,48.32
9,total_bpue,control,30.99
10,total_bpue,control,48.48
11,total_bpue,control,12.34
12,total_bpue,control,8.69
13,total_bpue,control,87.27
14,total_bpue,control,77.86
15,total_bpue,control,25.39
16,total_bpue,control,66.5
17,total_bpue,control,39.44
18,total_bpue,control,20.59
19,total_bpue,control,48.2
20,total_bpue,control,20.1
21,total_bpue,control,22.78
22,total_bpue,control,6.57
23,total_bpue,control,0.57
24,total_bpue,control,0.33
25,total_bpue,control,10.19
26,total_bpue,control,4.09
27,total_bpue,control,74.69
28,total_bpue,control,25.86
1,total_bpue,illuminated,6
2,total_bpue,illuminated,4.81
3,total_bpue,illuminated,4.67
4,total_bpue,illuminated,21.37
5,total_bpue,illuminated,26.68
6,total_bpue,illuminated,15.27
7,total_bpue,illuminated,20.33
8,total_bpue,illuminated,9.01
9,total_bpue,illuminated,21.51
10,total_bpue,illuminated,6.14
11,total_bpue,illuminated,36.1
12,total_bpue,illuminated,42.21
13,total_bpue,illuminated,39.77
14,total_bpue,illuminated,7.85
15,total_bpue,illuminated,5.76
16,total_bpue,illuminated,4.69
17,total_bpue,illuminated,1.05
18,total_bpue,illuminated,1.32
19,total_bpue,illuminated,0.47
20,total_bpue,illuminated,1.02
21,total_bpue,illuminated,3.08
22,total_bpue,illuminated,1.42
23,total_bpue,illuminated,0
24,total_bpue,illuminated,1.74
25,total_bpue,illuminated,9.84
26,total_bpue,illuminated,13.42
27,total_bpue,illuminated,14.58
28,total_bpue,illuminated,14.34
1,non_finfish_bpue,control,0
2,non_finfish_bpue,control,5.76
3,non_finfish_bpue,control,68.15
4,non_finfish_bpue,control,27.9
5,non_finfish_bpue,control,34.9
6,non_finfish_bpue,control,25.37
7,non_finfish_bpue,control,5.92
8,non_finfish_bpue,control,34.44
9,non_finfish_bpue,control,21.9
10,non_finfish_bpue,control,42.51
11,non_finfish_bpue,control,2.66
12,non_finfish_bpue,control,0
13,non_finfish_bpue,control,81.47
14,non_finfish_bpue,control,77.27
15,non_finfish_bpue,control,22.46
16,non_finfish_bpue,control,57.49
17,non_finfish_bpue,control,38.63
18,non_finfish_bpue,control,20.13
19,non_finfish_bpue,control,47.25
20,non_finfish_bpue,control,18.45
21,non_finfish_bpue,control,7.78
22,non_finfish_bpue,control,3.28
23,non_finfish_bpue,control,0
24,non_finfish_bpue,control,0
25,non_finfish_bpue,control,0
26,non_finfish_bpue,control,0
27,non_finfish_bpue,control,0
28,non_finfish_bpue,control,6.46
1,non_finfish_bpue,illuminated,0
2,non_finfish_bpue,illuminated,0
3,non_finfish_bpue,illuminated,0
4,non_finfish_bpue,illuminated,15.31
5,non_finfish_bpue,illuminated,25.08
6,non_finfish_bpue,illuminated,9.06
7,non_finfish_bpue,illuminated,16.64
8,non_finfish_bpue,illuminated,0
9,non_finfish_bpue,illuminated,20.48
10,non_finfish_bpue,illuminated,0
11,non_finfish_bpue,illuminated,31.32
12,non_finfish_bpue,illuminated,40.61
13,non_finfish_bpue,illuminated,35.29
14,non_finfish_bpue,illuminated,5.61
15,non_finfish_bpue,illuminated,5.24
16,non_finfish_bpue,illuminated,0
17,non_finfish_bpue,illuminated,0
18,non_finfish_bpue,illuminated,0
19,non_finfish_bpue,illuminated,0
20,non_finfish_bpue,illuminated,0
21,non_finfish_bpue,illuminated,0
22,non_finfish_bpue,illuminated,0
23,non_finfish_bpue,illuminated,0
24,non_finfish_bpue,illuminated,0
25,non_finfish_bpue,illuminated,0
26,non_finfish_bpue,illuminated,0
27,non_finfish_bpue,illuminated,0
28,non_finfish_bpue,illuminated,0
1,finfish_bpue,control,5.89
2,finfish_bpue,control,8.64
3,finfish_bpue,control,7.85
4,finfish_bpue,control,13.3
5,finfish_bpue,control,4.11
6,finfish_bpue,control,6.68
7,finfish_bpue,control,5.92
8,finfish_bpue,control,13.88
9,finfish_bpue,control,9.08
10,finfish_bpue,control,5.97
11,finfish_bpue,control,9.68
12,finfish_bpue,control,8.69
13,finfish_bpue,control,5.8
14,finfish_bpue,control,0.59
15,finfish_bpue,control,2.93
16,finfish_bpue,control,9.02
17,finfish_bpue,control,0.81
18,finfish_bpue,control,0.46
19,finfish_bpue,control,0.95
20,finfish_bpue,control,1.65
21,finfish_bpue,control,15
22,finfish_bpue,control,3.28
23,finfish_bpue,control,0.57
24,finfish_bpue,control,0.33
25,finfish_bpue,control,10.19
26,finfish_bpue,control,4.09
27,finfish_bpue,control,74.69
28,finfish_bpue,control,19.39
1,finfish_bpue,illuminated,6
2,finfish_bpue,illuminated,4.81
3,finfish_bpue,illuminated,4.67
4,finfish_bpue,illuminated,6.06
5,finfish_bpue,illuminated,1.6
6,finfish_bpue,illuminated,6.2
7,finfish_bpue,illuminated,3.7
8,finfish_bpue,illuminated,9.01
9,finfish_bpue,illuminated,1.04
10,finfish_bpue,illuminated,6.14
11,finfish_bpue,illuminated,4.78
12,finfish_bpue,illuminated,1.6
13,finfish_bpue,illuminated,4.48
14,finfish_bpue,illuminated,2.24
15,finfish_bpue,illuminated,0.52
16,finfish_bpue,illuminated,4.69
17,finfish_bpue,illuminated,1.05
18,finfish_bpue,illuminated,1.32
19,finfish_bpue,illuminated,0.47
20,finfish_bpue,illuminated,1.02
21,finfish_bpue,illuminated,3.08
22,finfish_bpue,illuminated,1.42
23,finfish_bpue,illuminated,0
24,finfish_bpue,illuminated,1.74
25,finfish_bpue,illuminated,9.84
26,finfish_bpue,illuminated,13.42
27,finfish_bpue,illuminated,14.58
28,finfish_bpue,illuminated,14.34
1,elasmobranch_bpue,control,0
2,elasmobranch_bpue,control,5.76
3,elasmobranch_bpue,control,0
4,elasmobranch_bpue,control,0
5,elasmobranch_bpue,control,0
6,elasmobranch_bpue,control,22.7
7,elasmobranch_bpue,control,5.92
8,elasmobranch_bpue,control,0.51
9,elasmobranch_bpue,control,0.53
10,elasmobranch_bpue,control,2.3
11,elasmobranch_bpue,control,2.66
12,elasmobranch_bpue,control,0
13,elasmobranch_bpue,control,0
14,elasmobranch_bpue,control,0.59
15,elasmobranch_bpue,control,0
16,elasmobranch_bpue,control,0
17,elasmobranch_bpue,control,20.51
18,elasmobranch_bpue,control,20.13
19,elasmobranch_bpue,control,15.25
20,elasmobranch_bpue,control,0
21,elasmobranch_bpue,control,7.78
22,elasmobranch_bpue,control,3.28
23,elasmobranch_bpue,control,0
24,elasmobranch_bpue,control,0
25,elasmobranch_bpue,control,0
26,elasmobranch_bpue,control,0
27,elasmobranch_bpue,control,0
28,elasmobranch_bpue,control,6.46
1,elasmobranch_bpue,illuminated,0
2,elasmobranch_bpue,illuminated,0
3,elasmobranch_bpue,illuminated,0
4,elasmobranch_bpue,illuminated,0
5,elasmobranch_bpue,illuminated,3.74
6,elasmobranch_bpue,illuminated,0.48
7,elasmobranch_bpue,illuminated,0
8,elasmobranch_bpue,illuminated,0
9,elasmobranch_bpue,illuminated,0.52
10,elasmobranch_bpue,illuminated,0
11,elasmobranch_bpue,illuminated,0
12,elasmobranch_bpue,illuminated,0
13,elasmobranch_bpue,illuminated,0.56
14,elasmobranch_bpue,illuminated,0
15,elasmobranch_bpue,illuminated,0
16,elasmobranch_bpue,illuminated,0
17,elasmobranch_bpue,illuminated,0
18,elasmobranch_bpue,illuminated,0
19,elasmobranch_bpue,illuminated,0
20,elasmobranch_bpue,illuminated,0
21,elasmobranch_bpue,illuminated,0
22,elasmobranch_bpue,illuminated,0
23,elasmobranch_bpue,illuminated,0
24,elasmobranch_bpue,illuminated,0
25,elasmobranch_bpue,illuminated,0
26,elasmobranch_bpue,illuminated,0
27,elasmobranch_bpue,illuminated,0
28,elasmobranch_bpue,illuminated,0
1,humboldt_squid_bpue,control,0
2,humboldt_squid_bpue,control,0
3,humboldt_squid_bpue,control,0
4,humboldt_squid_bpue,control,0
5,humboldt_squid_bpue,control,34.9
6,humboldt_squid_bpue,control,2.67
7,humboldt_squid_bpue,control,0
8,humboldt_squid_bpue,control,0
9,humboldt_squid_bpue,control,21.37
10,humboldt_squid_bpue,control,8.27
11,humboldt_squid_bpue,control,0
12,humboldt_squid_bpue,control,0
13,humboldt_squid_bpue,control,42.31
14,humboldt_squid_bpue,control,76.68
15,humboldt_squid_bpue,control,22.46
16,humboldt_squid_bpue,control,3.95
17,humboldt_squid_bpue,control,0
18,humboldt_squid_bpue,control,0
19,humboldt_squid_bpue,control,0
20,humboldt_squid_bpue,control,0
21,humboldt_squid_bpue,control,0
22,humboldt_squid_bpue,control,0
23,humboldt_squid_bpue,control,0
24,humboldt_squid_bpue,control,0
25,humboldt_squid_bpue,control,0
26,humboldt_squid_bpue,control,0
27,humboldt_squid_bpue,control,0
28,humboldt_squid_bpue,control,0
1,humboldt_squid_bpue,illuminated,0
2,humboldt_squid_bpue,illuminated,0
3,humboldt_squid_bpue,illuminated,0
4,humboldt_squid_bpue,illuminated,0
5,humboldt_squid_bpue,illuminated,0
6,humboldt_squid_bpue,illuminated,8.59
7,humboldt_squid_bpue,illuminated,0
8,humboldt_squid_bpue,illuminated,0
9,humboldt_squid_bpue,illuminated,2.59
10,humboldt_squid_bpue,illuminated,0
11,humboldt_squid_bpue,illuminated,0
12,humboldt_squid_bpue,illuminated,0
13,humboldt_squid_bpue,illuminated,17.92
14,humboldt_squid_bpue,illuminated,5.61
15,humboldt_squid_bpue,illuminated,5.24
16,humboldt_squid_bpue,illuminated,0
17,humboldt_squid_bpue,illuminated,0
18,humboldt_squid_bpue,illuminated,0
19,humboldt_squid_bpue,illuminated,0
20,humboldt_squid_bpue,illuminated,0
21,humboldt_squid_bpue,illuminated,0
22,humboldt_squid_bpue,illuminated,0
23,humboldt_squid_bpue,illuminated,0
24,humboldt_squid_bpue,illuminated,0
25,humboldt_squid_bpue,illuminated,0
26,humboldt_squid_bpue,illuminated,0
27,humboldt_squid_bpue,illuminated,0
28,humboldt_squid_bpue,illuminated,0
1,loggerhead_biomass_bpue,control,0
2,loggerhead_biomass_bpue,control,0
3,loggerhead_biomass_bpue,control,68.15
4,loggerhead_biomass_bpue,control,27.9
5,loggerhead_biomass_bpue,control,0
6,loggerhead_biomass_bpue,control,0
7,loggerhead_biomass_bpue,control,0
8,loggerhead_biomass_bpue,control,33.93
9,loggerhead_biomass_bpue,control,0
10,loggerhead_biomass_bpue,control,31.94
11,loggerhead_biomass_bpue,control,0
12,loggerhead_biomass_bpue,control,0
13,loggerhead_biomass_bpue,control,39.16
14,loggerhead_biomass_bpue,control,0
15,loggerhead_biomass_bpue,control,0
16,loggerhead_biomass_bpue,control,53.54
17,loggerhead_biomass_bpue,control,18.12
18,loggerhead_biomass_bpue,control,0
19,loggerhead_biomass_bpue,control,31.99
20,loggerhead_biomass_bpue,control,18.45
21,loggerhead_biomass_bpue,control,0
22,loggerhead_biomass_bpue,control,0
23,loggerhead_biomass_bpue,control,0
24,loggerhead_biomass_bpue,control,0
25,loggerhead_biomass_bpue,control,0
26,loggerhead_biomass_bpue,control,0
27,loggerhead_biomass_bpue,control,0
28,loggerhead_biomass_bpue,control,0
1,loggerhead_biomass_bpue,illuminated,0
2,loggerhead_biomass_bpue,illuminated,0
3,loggerhead_biomass_bpue,illuminated,0
4,loggerhead_biomass_bpue,illuminated,15.31
5,loggerhead_biomass_bpue,illuminated,21.34
6,loggerhead_biomass_bpue,illuminated,0
7,loggerhead_biomass_bpue,illuminated,16.64
8,loggerhead_biomass_bpue,illuminated,0
9,loggerhead_biomass_bpue,illuminated,17.37
10,loggerhead_biomass_bpue,illuminated,0
11,loggerhead_biomass_bpue,illuminated,31.32
12,loggerhead_biomass_bpue,illuminated,40.61
13,loggerhead_biomass_bpue,illuminated,16.8
14,loggerhead_biomass_bpue,illuminated,0
15,loggerhead_biomass_bpue,illuminated,0
16,loggerhead_biomass_bpue,illuminated,0
17,loggerhead_biomass_bpue,illuminated,0
18,loggerhead_biomass_bpue,illuminated,0
19,loggerhead_biomass_bpue,illuminated,0
20,loggerhead_biomass_bpue,illuminated,0
21,loggerhead_biomass_bpue,illuminated,0
22,loggerhead_biomass_bpue,illuminated,0
23,loggerhead_biomass_bpue,illuminated,0
24,loggerhead_biomass_bpue,illuminated,0
25,loggerhead_biomass_bpue,illuminated,0
26,loggerhead_biomass_bpue,illuminated,0
27,loggerhead_biomass_bpue,illuminated,0
28,loggerhead_biomass_bpue,illuminated,0
1,loggerhead_number_bpue,control,0
2,loggerhead_number_bpue,control,0
3,loggerhead_number_bpue,control,1.963457867
4,loggerhead_number_bpue,control,0.831427978
5,loggerhead_number_bpue,control,0
6,loggerhead_number_bpue,control,0
7,loggerhead_number_bpue,control,0
8,loggerhead_number_bpue,control,1.0280574
9,loggerhead_number_bpue,control,0
10,loggerhead_number_bpue,control,0.918484501
11,loggerhead_number_bpue,control,0
12,loggerhead_number_bpue,control,0
13,loggerhead_number_bpue,control,1.159289613
14,loggerhead_number_bpue,control,0
15,loggerhead_number_bpue,control,0
16,loggerhead_number_bpue,control,1.690736175
17,loggerhead_number_bpue,control,0.539798925
18,loggerhead_number_bpue,control,0
19,loggerhead_number_bpue,control,0.953326713
20,loggerhead_number_bpue,control,0.549752611
21,loggerhead_number_bpue,control,0
22,loggerhead_number_bpue,control,0
23,loggerhead_number_bpue,control,0
24,loggerhead_number_bpue,control,0
25,loggerhead_number_bpue,control,0
26,loggerhead_number_bpue,control,0
27,loggerhead_number_bpue,control,0
28,loggerhead_number_bpue,control,0
1,loggerhead_number_bpue,illuminated,0
2,loggerhead_number_bpue,illuminated,0
3,loggerhead_number_bpue,illuminated,0
4,loggerhead_number_bpue,illuminated,0.757974524
5,loggerhead_number_bpue,illuminated,0.533570476
6,loggerhead_number_bpue,illuminated,0
7,loggerhead_number_bpue,illuminated,0.462130937
8,loggerhead_number_bpue,illuminated,0
9,loggerhead_number_bpue,illuminated,0.517642999
10,loggerhead_number_bpue,illuminated,0
11,loggerhead_number_bpue,illuminated,0.955401335
12,loggerhead_number_bpue,illuminated,1.068590129
13,loggerhead_number_bpue,illuminated,0.56014128
14,loggerhead_number_bpue,illuminated,0
15,loggerhead_number_bpue,illuminated,0
16,loggerhead_number_bpue,illuminated,0
17,loggerhead_number_bpue,illuminated,0
18,loggerhead_number_bpue,illuminated,0
19,loggerhead_number_bpue,illuminated,0
20,loggerhead_number_bpue,illuminated,0
21,loggerhead_number_bpue,illuminated,0
22,loggerhead_number_bpue,illuminated,0
23,loggerhead_number_bpue,illuminated,0
24,loggerhead_number_bpue,illuminated,0
25,loggerhead_number_bpue,illuminated,0
26,loggerhead_number_bpue,illuminated,0
27,loggerhead_number_bpue,illuminated,0
